Hash,Git-User, Date/Time,ChangeMade
b43b6fc,rutvik2611,Fri Nov 1 19:08:05 2019 -0300,Fix:Added pandas to dockerfile
8847e3f,rutvik2611,Fri Nov 1 19:05:22 2019 -0300,Update:made changes to docker and travis file2
a84d138,rutvik2611,Fri Nov 1 18:32:01 2019 -0300,Update:made changes to docker and travis file
a798d18,rutvik2611,Fri Nov 1 18:14:19 2019 -0300,Feature:Made Z-score Indiviaual file and made a test for it(without csv)
34edf79,rutvik2611,Fri Nov 1 17:55:40 2019 -0300,Fix:Mode By changing multiple values in cs
dbd541c,rutvik2611,Fri Nov 1 17:38:53 2019 -0300,Feature:Final(add,sub,mul,div,sq,sqrt,mean,median,stdev) from csv
90c8072,rutvik2611,Fri Nov 1 17:35:14 2019 -0300,Feature:Added Result csv and modified test according to that
a209b5b,rutvik2611,Fri Nov 1 16:04:46 2019 -0300,Fix:Test Case for mean media stdev (commented mode-error)
6927486,rutvik2611,Fri Nov 1 16:04:16 2019 -0300,Fix:Test Case for mean media stdev (commented mode-error)
f05adc5,rutvik2611,Fri Nov 1 16:03:20 2019 -0300,Fix:all the function mean median mode
5c673c9,rutvik2611,Fri Nov 1 04:17:11 2019 -0300,FIX:ERROR with new array list
8afe67f,rutvik2611,Fri Nov 1 04:04:51 2019 -0300,Add:CSV FILES
3f1d770,rutvik2611,Fri Nov 1 04:04:02 2019 -0300,Fix:an array in read_csv class
0dabe8f,rutvik2611,Fri Nov 1 04:03:44 2019 -0300,Feature:import stat
b91025a,rutvik2611,Fri Nov 1 04:02:41 2019 -0300,Feature:Added Stat(Mean,median and mode)
c01a9c2,rutvik2611,Fri Nov 1 03:28:12 2019 -0300,Fix:fixxed test function
64f3df5,rutvik2611,Fri Nov 1 03:27:37 2019 -0300,Feature:Added Read Array function
043f822,rutvik2611,Fri Nov 1 02:23:22 2019 -0300,Feature:Added CSV FILES
e5031d8,rutvik2611,Fri Nov 1 02:22:52 2019 -0300,Feature:Added Read CSV MODULE
827118b,rutvik2611,Fri Nov 1 01:41:06 2019 -0300,Feature:Added New Files for testing
285d7f9,rutvik2611,Tue Oct 29 18:11:19 2019 -0300,Feature:Added P-Valaue
fdcf83a,rutvik2611,Tue Oct 29 17:39:24 2019 -0300,Feature:Added P-Valaue
cba1596,rutvik2611,Tue Oct 29 16:25:46 2019 -0300,Feature:Added Popvariance and unit test for it
6c67970,Chinedu Nnaji,Tue Oct 29 15:02:56 2019 -0400,fix: pop variance function
f39cfda,rutvik2611,Tue Oct 29 14:04:55 2019 -0300,Fix:List issue with mode
